title	price	image	link
A Plague Tale Bundle	$38.49	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0147385_0.jpeg	https://www.gamebillet.com/a-plague-tale-bundle
A Memoir Blue	$4.54	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0121651_0.jpeg	https://www.gamebillet.com/a-memoir-blue
A Little to the Left	$9.74	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0144875_0.jpeg	https://www.gamebillet.com/a-little-to-the-left-z
A Plague Tale: Innocence	$10.00	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0071824_0.jpeg	https://www.gamebillet.com/a-plague-tale-innocence-2
A Street Cat's Tale	$2.99	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0139470_0.jpeg	https://www.gamebillet.com/a-street-cats-tale
A Plague Tale: Requiem	$27.49	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0145087_0.jpeg	https://www.gamebillet.com/a-plague-tale-requiem
A Total War Saga: TROY	$21.37	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0114278_0.jpeg	https://www.gamebillet.com/a-total-war-saga-troy
A Total War Saga: TROY - Ajax & Diomedes	$5.72	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0114738_0.jpeg	https://www.gamebillet.com/a-total-war-saga-troy-ajax-diomedes
A Planet of Mine	$7.64	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0158328_0.jpeg	https://www.gamebillet.com/a-planet-of-mine-z
A Total War Saga: TROY - Amazons	$5.72	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0114752_0.jpeg	https://www.gamebillet.com/a-total-war-saga-troy-amazons
A Year Of Rain	$0.99	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0081075_0.jpeg	https://www.gamebillet.com/a-year-of-rain-z
A Total War Saga: TROY - Rhesus & Memnon	$5.72	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0118240_0.png	https://www.gamebillet.com/a-total-war-saga-troy-rhesus-memnon-pre-order
Abermore	$4.80	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0121715_0.png	https://www.gamebillet.com/abermore
ABRACA - Imagic Games	$12.74	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0003631_0.jpeg	https://www.gamebillet.com/abraca-imagic-games-z
ABRISS - build to destroy	$16.39	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0160424_0.jpeg	https://www.gamebillet.com/abriss-build-to-destroy-z
Absolute Drift	$10.19	https://s3-eu-west-1.amazonaws.com/gb.awsbucket.1/0153968_0.jpeg	https://www.gamebillet.com/absolute-drift-z
