title	price	image	link
Bus Simulator 21 Next Stop – Season Pass	$21.49	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/bus-simulator-21-next-stop-season-pass
Jujutsu Kaisen Cursed Clash - Deluxe Edition	$71.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/jujutsu-kaisen-cursed-clash-deluxe-edition
Across the Obelisk	$11.69	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/across-the-obelisk
Ready or Not	$45.49	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/ready-or-not
Six Days in Fallujah	$26.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/six-days-in-fallujah
Ori and the Blind Forest Definitive Edition	$4.04	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/ori-and-the-blind-forest-definitive-edition
ELDEN RING	$33.83	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/elden-ring
Max Payne Double Pack STEAM	$13.49	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/max-payne-double-pack-steam
GTFO	NULL	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/gtfo
Persona 3 Reload	$62.29	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/persona-3-reload
Mad Max	$4.45	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/mad-max
Warhammer 40,000: Rogue Trader – Season Pass	NULL	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/warhammer-40-000-rogue-trader-season-pass
Across The Obelisk: The Wolf Wars	$4.50	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/across-the-obelisk-the-wolf-wars
The Great Ace Attorney Chronicles	$13.92	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/the-great-ace-attorney-chronicles
Pathfinder: Wrath of the Righteous - The Lord o...	$10.91	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/pathfinder-wrath-of-the-righteous-the-lord-of-nothing
ARMORED CORE™ VI FIRES OF RUBICON™	$51.94	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/armored-coretm-vi-fires-of-rubicontm
Total War: WARHAMMER III – Shadows of Change	$17.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/total-war-warhammer-iii-shadows-of-change
MythForce	$23.20	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/mythforce-77057
Like a Dragon: Infinite Wealth	$62.29	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/like-a-dragon-infinite-wealth
Across The Obelisk: Spooky night in Senenthia	$2.25	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/across-the-obelisk-spooky-night-in-senenthia
Pathfinder: Wrath of the Righteous - The Last S...	$10.91	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/pathfinder-wrath-of-the-righteous-the-last-sarkorians
Max Payne STEAM	$8.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/max-payne-steam
Warhammer: End Times - Vermintide Collector's E...	$3.47	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/warhammer-end-times-vermintide-collector-s-edition-row
Across The Obelisk: Sands of Ulminin	$11.69	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/across-the-obelisk-sands-of-ulminin
MythForce	$22.69	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/mythforce
Gravity Island	$5.03	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/gravity-island
A Game of Dwarves: Ale Pack	$0.89	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/a-game-of-dwarves-ale-pack
Hearts of Iron IV - Arms Against Tyranny	$18.39	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/hearts-of-iron-iv-arms-against-tyranny
Total War: WARHAMMER III - Forge of the Chaos D...	$17.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/total-war-warhammer-iii-forge-of-the-chaos-dwarfs
Tales of Arise - Beyond the Dawn Expansion	$25.45	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/tales-of-arise-beyond-the-dawn-expansion
Like a Dragon Gaiden: The Man Who Erased His Na...	$37.12	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/like-a-dragon-gaiden-the-man-who-erased-his-name-deluxe-edition
Ghost Trick: Phantom Detective	$17.22	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/ghost-trick-phantom-detective
Yakuza 6: The Song of Life	$17.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/yakuza-6-the-song-of-life
Police Simulator: Patrol Officers	$20.15	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/police-simulator-patrol-officers
Kotodama: The 7 Mysteries of Fujisawa	$5.55	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/kotodama-the-7-mysteries-of-fujisawa
Bus Simulator 21 Next Stop – Gold Edition	$38.24	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/bus-simulator-21-next-stop-gold-edition
Hatred	NULL	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/hatred
Yakuza Kiwami 2	$17.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/yakuza-kiwami-2
Evil Dead: The Game	$23.49	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/evil-dead-the-game
Yakuza Kiwami	$17.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/yakuza-kiwami
Circle Empires: Apex Monsters!	$1.47	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/circle-empires-apex-monsters
My Time at Sandrock	$35.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/my-time-at-sandrock
Friends vs Friends: Deluxe Edition Content	$6.95	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/friends-vs-friends-deluxe-edition-content
Punch Line	$9.25	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/punch-line
Batman™: Arkham VR	$4.45	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/batmantm-arkham-vr
SubwaySim Hamburg	$29.74	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/subwaysim-hamburg
Castle of Illusion	$3.38	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/castle-of-illusion
Grow: Song of the Evertree	$8.00	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/grow-song-of-the-evertree
Risk of Rain 2: Survivors of the Void	$7.89	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/risk-of-rain-2-survivors-of-the-void
SCUM	$18.00	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/scum
Resident Evil 4 - Separate Ways	$9.39	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-4-separate-ways
Like a Dragon: Infinite Wealth – Ultimate Edition	$97.89	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/like-a-dragon-infinite-wealth-ultimate-edition
Tram Simulator Urban Transit	$17.39	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/tram-simulator-urban-transit
Grand Theft Auto V: Premium Online Edition	$13.49	https://s3.eu-west-2.amazonaws.com/2gameimg/boxshotcu/45117_full.jpg	https://2game.com/us/grand-theft-auto-v-criminal-enterprise-starter-pack
Grand Theft Auto V: Premium Online Edition & Me...	$32.25	https://s3.eu-west-2.amazonaws.com/2gameimg/boxshotcu/45099_full.jpg	https://2game.com/us/grand-theft-auto-v-cesp-megalodon-shark-card-bundle
Castle of Illusion	$3.38	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/castle-of-illusion
Grow: Song of the Evertree	$8.00	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/grow-song-of-the-evertree
Risk of Rain 2: Survivors of the Void	$7.89	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/risk-of-rain-2-survivors-of-the-void
SCUM	$18.00	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/scum
Resident Evil 4 - Separate Ways	$9.39	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/resident-evil-4-separate-ways
Like a Dragon: Infinite Wealth – Ultimate Edition	$97.89	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/like-a-dragon-infinite-wealth-ultimate-edition
Tram Simulator Urban Transit	$17.39	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/tram-simulator-urban-transit
Warhammer 40,000: Rogue Trader	NULL	https://images.2game.com/boxshotcu/77942_ohHYM2Uq_full.jpg	https://2game.com/us/warhammer-40-000-rogue-trader
World War Z: Aftermath	$23.13	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/world-war-z-aftermath
Zool Redimensioned	$2.88	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/zool-redimensioned
Magicka DLC: Aspiring Musician Robes	$1.79	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/magicka-dlc-aspiring-musician-robes
XCOM®: Chimera Squad	$2.70	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/xcomr-chimera-squad
River City Super Sports Challenge ~All Stars Sp...	$17.79	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/river-city-super-sports-challenge-all-stars-special
Shame Legacy	NULL	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/shame-legacy
Sonic Adventure™ 2	$2.25	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/sonic-adventuretm-2
Planet Alcatraz	$0.70	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/planet-alcatraz
Wicce	$2.14	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/wicce
OMSI 2 Add-On München City	NULL	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/omsi-2-add-on-munchen-city
Stellaris: Apocalypse	$17.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/stellaris-apocalypse
Total War™: WARHAMMER® II - The Hunter and the ...	$4.50	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/total-wartm-warhammerr-ii-the-hunter-and-the-beast
Renoir	$0.87	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/renoir
Train Valley 2	$8.71	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/train-valley-2
Marlow Briggs and the Mask of Death	$3.99	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/marlow-briggs-and-the-mask-of-death
DJMAX RESPECT V - Clazziquai Edition Original S...	$8.49	https://2game.com/skin/frontend/v53game/default/images/placeholder.png	https://2game.com/us/djmax-respect-v-clazziquai-edition-original-soundtrack-remastered
